id,barrio,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,price_clean,minimum_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,estimated_occupancy_l365d,ocupacion_pct_365d,n_amenities,poi_gastronomia_900m,poi_transporte_900m,poi_total_900m,instant_bookable,host_is_superhost,tiene_wifi,tiene_pileta,tiene_aire_acondicionado,tiene_cochera,tiene_cocina,tiene_ascensor,tiene_gimnasio,acepta_mascotas
994176109094842835,Recoleta,-34.5874697,-58.4003574,Entire home/apt,Entire rental unit,3,1.0,2.0,120768.64,1.0,80,4.65,4.93,4.64,222,60.82191780821918,46,,,,,f,True,False,True,True,True,True,False,False
622369804472754718,Recoleta,-34.5897331237793,-58.41062927246094,Entire home/apt,Entire rental unit,4,2.0,3.0,184723.0,2.0,4,5.0,5.0,5.0,0,0.0,50,,,,,f,True,False,False,True,True,True,False,True
16707517,Recoleta,-34.58946,-58.39427,Entire home/apt,Entire rental unit,3,2.0,2.0,80972.0,6.0,33,4.94,4.97,4.91,0,0.0,50,,,,,f,True,False,False,True,True,True,False,False
722463209122047261,Recoleta,-34.58756407170335,-58.40459009325409,Entire home/apt,Entire rental unit,3,1.0,2.0,77534.33,1.0,41,4.54,4.88,4.61,144,39.45205479452055,48,,,,,f,True,False,True,True,True,False,False,False
721852746132466551,Recoleta,-34.58746719360352,-58.40504837036133,Entire home/apt,Entire vacation home,3,1.0,2.0,111187.0,1.0,104,4.75,4.88,4.76,48,13.150684931506849,49,,,,,f,True,False,False,True,True,False,False,False
38217808,Recoleta,-34.59862518310547,-58.39605331420898,Entire home/apt,Entire rental unit,6,2.0,6.0,132225.0,2.0,155,4.92,4.94,4.9,168,46.02739726027397,9,,,,,t,True,False,True,False,False,False,False,False
1050942831734774678,Recoleta,-34.58584,-58.39561,Entire home/apt,Entire rental unit,2,1.0,1.0,65788.0,3.0,99,4.66,4.94,4.71,255,69.86301369863014,23,,,,,f,True,False,True,False,True,True,False,False
26471982,Recoleta,-34.59316,-58.39511,Entire home/apt,Entire rental unit,2,1.0,2.0,54364.85,30.0,0,,,,0,0.0,14,,,,,f,True,False,True,False,True,True,False,False
1181937569057278676,Recoleta,-34.59134023313591,-58.40544931590557,Entire home/apt,Entire rental unit,2,1.0,1.0,76784.0,2.0,18,4.72,5.0,4.78,48,13.150684931506849,29,,,,,f,True,False,True,True,True,True,False,False
42715557,Recoleta,-34.59621,-58.40267,Entire home/apt,Entire rental unit,3,2.0,2.0,70995.0,3.0,14,4.93,4.93,5.0,24,6.575342465753424,9,,,,,f,True,False,True,False,True,False,False,False
21497709,Recoleta,-34.58916,-58.3861,Entire home/apt,Entire rental unit,2,1.0,1.0,88628.0,2.0,241,4.8,4.97,4.78,228,62.465753424657535,34,,,,,t,True,False,False,True,True,True,False,False
